id,labels,kind,simpleName
"CH.ifa.draw.standard.HandleTracker.CH.ifa.draw.standard.HandleTracker(CH.ifa.draw.framework.DrawingView,CH.ifa.draw.framework.Handle)",Constructor,ctor,"CH.ifa.draw.standard.HandleTracker(CH.ifa.draw.framework.DrawingView,CH.ifa.draw.framework.Handle)"
"CH.ifa.draw.samples.pert.PertDependency.canConnect(CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Figure)",Operation,method,"canConnect(CH.ifa.draw.framework.Figure,CH.ifa.draw.framework.Figure)"
CH.ifa.draw.samples.net,Container,package,net
CH.ifa.draw.framework.DrawingView.addAll(java.util.Vector),Operation,method,addAll(java.util.Vector)
CH.ifa.draw.figures.AttributeFigure.fAttributes,Variable,field,fAttributes
CH.ifa.draw.standard.ConnectionTool.deactivate(),Operation,method,deactivate()
"CH.ifa.draw.contrib.PolygonTool.mouseUp(java.awt.event.MouseEvent,int,int).x",Variable,parameter,x
CH.ifa.draw.standard.BoxHandleKit.CH.ifa.draw.standard.BoxHandleKit(),Constructor,ctor,CH.ifa.draw.standard.BoxHandleKit()
"CH.ifa.draw.figures.LineDecoration.draw(java.awt.Graphics,int,int,int,int).y2",Variable,parameter,y2
CH.ifa.draw.standard.CreationTool.createFigure(),Operation,method,createFigure()
CH.ifa.draw.samples.pert.PertApplet,Structure,class,PertApplet
CH.ifa.draw.util.Filler.getPreferredSize(),Operation,method,getPreferredSize()
CH.ifa.draw.samples.pert.PertFigure.update(CH.ifa.draw.framework.FigureChangeEvent).e,Variable,parameter,e
CH.ifa.draw.contrib.PolygonFigure.isEmpty(),Operation,method,isEmpty()
CH.ifa.draw.standard.StandardDrawing.drawingChangeListeners(),Operation,method,drawingChangeListeners()
"CH.ifa.draw.standard.AbstractConnector.containsPoint(int,int).y",Variable,parameter,y
CH.ifa.draw.util.Iconkit.fRegisteredImages,Variable,field,fRegisteredImages
CH.ifa.draw.framework.HJDError.CH.ifa.draw.framework.HJDError(java.lang.String),Constructor,ctor,CH.ifa.draw.framework.HJDError(java.lang.String)
CH.ifa.draw.util.Storable,Structure,interface,Storable
CH.ifa.draw.samples.pert.PertFigure.draw(java.awt.Graphics).g,Variable,parameter,g
CH.ifa.draw.standard.PasteCommand.bounds(java.util.Enumeration).k,Variable,parameter,k
CH.ifa.draw.applet.DrawApplet.setSelected(CH.ifa.draw.standard.ToolButton).button,Variable,parameter,button
"CH.ifa.draw.standard.ConnectionTool.findConnectableFigure(int,int,CH.ifa.draw.framework.Drawing).drawing",Variable,parameter,drawing
"CH.ifa.draw.contrib.PolygonHandle.invokeEnd(int,int,int,int,CH.ifa.draw.framework.DrawingView).y",Variable,parameter,y
"CH.ifa.draw.figures.TextFigure.setAttribute(java.lang.String,java.lang.Object).value",Variable,parameter,value
CH.ifa.draw.figures.FigureAttributes.read(CH.ifa.draw.util.StorableInput).dr,Variable,parameter,dr
"CH.ifa.draw.figures.TextFigure.setAttribute(java.lang.String,java.lang.Object).name",Variable,parameter,name
"CH.ifa.draw.samples.pert.PertFigure.basicDisplayBox(java.awt.Point,java.awt.Point).origin",Variable,parameter,origin
CH.ifa.draw.util.StorableOutput.writeColor(java.awt.Color).c,Variable,parameter,c
"CH.ifa.draw.standard.SimpleUpdateStrategy.draw(java.awt.Graphics,CH.ifa.draw.framework.DrawingView).view",Variable,parameter,view
CH.ifa.draw.util.PaletteButton.update(java.awt.Graphics),Operation,method,update(java.awt.Graphics)
CH.ifa.draw.framework.Figure.size(),Operation,method,size()
CH.ifa.draw.application.DrawApplication.selectionChanged(CH.ifa.draw.framework.DrawingView).view,Variable,parameter,view
"CH.ifa.draw.figures.TextFigure.basicMoveBy(int,int).y",Variable,parameter,y
CH.ifa.draw.util.Command.isExecutable(),Operation,method,isExecutable()
"CH.ifa.draw.standard.ChangeConnectionHandle.invokeStart(int,int,CH.ifa.draw.framework.DrawingView).y",Variable,parameter,y
"CH.ifa.draw.util.PaletteLayout.CH.ifa.draw.util.PaletteLayout(int,java.awt.Point).gap",Variable,parameter,gap
CH.ifa.draw.standard.CompositeFigure.figureRemoved(CH.ifa.draw.framework.FigureChangeEvent),Operation,method,figureRemoved(CH.ifa.draw.framework.FigureChangeEvent)
CH.ifa.draw.application.DrawApplication.showStatus(java.lang.String).string,Variable,parameter,string
CH.ifa.draw.figures.BorderDecorator.connectionInsets(),Operation,method,connectionInsets()
CH.ifa.draw.figures.RectangleFigure.handles(),Operation,method,handles()
CH.ifa.draw.samples.javadraw.AnimationDecorator.CH.ifa.draw.samples.javadraw.AnimationDecorator(CH.ifa.draw.framework.Figure).figure,Variable,parameter,figure
CH.ifa.draw.samples.javadraw.BouncingDrawing.CH.ifa.draw.samples.javadraw.BouncingDrawing(),Constructor,ctor,CH.ifa.draw.samples.javadraw.BouncingDrawing()
"CH.ifa.draw.standard.DragTracker.mouseDrag(java.awt.event.MouseEvent,int,int).x",Variable,parameter,x
"CH.ifa.draw.contrib.PolygonTool.mouseDown(java.awt.event.MouseEvent,int,int).e",Variable,parameter,e
"CH.ifa.draw.figures.ArrowTip.draw(java.awt.Graphics,int,int,int,int).y2",Variable,parameter,y2
CH.ifa.draw.samples.pert.PertFigure.update(CH.ifa.draw.framework.FigureChangeEvent),Operation,method,update(CH.ifa.draw.framework.FigureChangeEvent)
CH.ifa.draw.figures.FigureAttributes.hasDefined(java.lang.String),Operation,method,hasDefined(java.lang.String)
CH.ifa.draw.figures.GroupFigure.canConnect(),Operation,method,canConnect()
"CH.ifa.draw.contrib.PolygonFigure.distanceFromLine(int,int,int,int,int,int).ya",Variable,parameter,ya
CH.ifa.draw.samples.pert.PertFigure.fPreTasks,Variable,field,fPreTasks
"CH.ifa.draw.samples.net.NodeFigure.findConnector(int,int).x",Variable,parameter,x
CH.ifa.draw.applet.DrawApplet.startSleeper(),Operation,method,startSleeper()
"CH.ifa.draw.standard.ActionTool.mouseDown(java.awt.event.MouseEvent,int,int).x",Variable,parameter,x
CH.ifa.draw.standard.DecoratorFigure.figures(),Operation,method,figures()
CH.ifa.draw.application.DrawApplication.stripTrailingAsterisks(java.lang.String).filename,Variable,parameter,filename
"CH.ifa.draw.contrib.PolygonScaleHandle.invokeStart(int,int,CH.ifa.draw.framework.Drawing).drawing",Variable,parameter,drawing
CH.ifa.draw.standard.DecoratorFigure.figureRequestUpdate(CH.ifa.draw.framework.FigureChangeEvent).e,Variable,parameter,e
CH.ifa.draw.contrib.TriangleRotationHandle.CH.ifa.draw.contrib.TriangleRotationHandle(CH.ifa.draw.contrib.TriangleFigure).owner,Variable,parameter,owner
"CH.ifa.draw.figures.EllipseFigure.connectorAt(int,int).y",Variable,parameter,y
"CH.ifa.draw.standard.CutCommand.CH.ifa.draw.standard.CutCommand(java.lang.String,CH.ifa.draw.framework.DrawingView).name",Variable,parameter,name
CH.ifa.draw.application.DrawApplication.loadDrawing(java.lang.String),Operation,method,loadDrawing(java.lang.String)
"CH.ifa.draw.samples.pert.PertFigure.basicDisplayBox(java.awt.Point,java.awt.Point)",Operation,method,"basicDisplayBox(java.awt.Point,java.awt.Point)"
CH.ifa.draw.standard.StandardDrawing.readObject(java.io.ObjectInputStream),Operation,method,readObject(java.io.ObjectInputStream)
CH.ifa.draw.standard.TextHolder,Structure,interface,TextHolder
CH.ifa.draw.framework.Drawing.removeAll(java.util.Vector).figures,Variable,parameter,figures
"CH.ifa.draw.standard.SelectAreaTracker.rubberBand(int,int,int,int).y1",Variable,parameter,y1
"CH.ifa.draw.util.Filler.CH.ifa.draw.util.Filler(int,int,java.awt.Color).width",Variable,parameter,width
"CH.ifa.draw.standard.AbstractHandle.invokeStart(int,int,CH.ifa.draw.framework.DrawingView).x",Variable,parameter,x
CH.ifa.draw.util.StorableInput.readStorable(),Operation,method,readStorable()
CH.ifa.draw.standard.ConnectionHandle.createConnection(),Operation,method,createConnection()
CH.ifa.draw.framework.DrawingView.addToSelection(CH.ifa.draw.framework.Figure),Operation,method,addToSelection(CH.ifa.draw.framework.Figure)
CH.ifa.draw.standard.ChopBoxConnector.findStart(CH.ifa.draw.framework.ConnectionFigure).connection,Variable,parameter,connection
"CH.ifa.draw.framework.Drawing.findFigureWithout(int,int,CH.ifa.draw.framework.Figure).y",Variable,parameter,y
CH.ifa.draw.util.PaletteIcon.normal(),Operation,method,normal()
"CH.ifa.draw.standard.ActionTool.mouseUp(java.awt.event.MouseEvent,int,int)",Operation,method,"mouseUp(java.awt.event.MouseEvent,int,int)"
CH.ifa.draw.framework.ConnectionFigure.disconnectStart(),Operation,method,disconnectStart()
"CH.ifa.draw.contrib.PolygonTool.mouseUp(java.awt.event.MouseEvent,int,int).y",Variable,parameter,y
CH.ifa.draw.framework.DrawingView.toggleSelection(CH.ifa.draw.framework.Figure).figure,Variable,parameter,figure
"CH.ifa.draw.standard.ConnectionTool.findTarget(int,int,CH.ifa.draw.framework.Drawing).drawing",Variable,parameter,drawing
"CH.ifa.draw.samples.javadraw.MySelectionTool.mouseDown(java.awt.event.MouseEvent,int,int).e",Variable,parameter,e
CH.ifa.draw.samples.pert.PertFigure.read(CH.ifa.draw.util.StorableInput),Operation,method,read(CH.ifa.draw.util.StorableInput)
"CH.ifa.draw.util.Iconkit.registerAndLoadImage(java.awt.Component,java.lang.String)",Operation,method,"registerAndLoadImage(java.awt.Component,java.lang.String)"
"CH.ifa.draw.standard.StandardDrawing.basicDisplayBox(java.awt.Point,java.awt.Point).p2",Variable,parameter,p2
CH.ifa.draw.standard.RelativeLocator.north(),Operation,method,north()
"CH.ifa.draw.standard.CreationTool.mouseDown(java.awt.event.MouseEvent,int,int).y",Variable,parameter,y
CH.ifa.draw.standard.AbstractConnector.draw(java.awt.Graphics).g,Variable,parameter,g
CH.ifa.draw.samples.javadraw.JavaDrawApp.open(),Operation,method,open()
CH.ifa.draw.standard.AbstractConnector.fOwner,Variable,field,fOwner
